Categoria;Quantidade
Antropólogo;1
Cientista político;6
Palestrante;3
Professor da rede privada ;5
Professor da rede pública ;4
Político ;17
Ministros de pastas ou indivíduos com cargos no judiciário e/ou cargos políticos;5
Ativistas político ;13
Jurista;2
Youtuber;5
Médico;1
Empresário;10
Advogado ;7
Administrador;2
Artista ;3
Jornalista;5
Economista;4
Engenheiro ;2
Matemático;1
Policial ou militar;3
Filósofo (formado) ;2
Filósofo sem formação, autodidatas;1
Médico veterinário;1
Diplomata;1
Historiador formado;1
Historiador “autodidata”;1
Escritor  ;12
Crítico literário;1
